"coin_id","name","mc","mv","price","marketl","quota","week"
"1","bitcoin","658384025991.0","25272083652.67","35124.189","18744462.0","-0.12%","2.81%"
"2","ethereum","250007296860.0","23859886700.71","2146.2429","116486021.624","-0.83%","6.22%"
"3","tether","62604417771.0","1405302513.37","1.0015507","62454526906.7117","-0.02%","0.0%"
"4","binance-coin","45845666770.0","1992301754.97","298.79946","153432897.0","0.39%","2.22%"
"5","cardano","42986841950.0","3672035254.22","1.3455957","31946328269.464","-0.42%","4.59%"
"6","dogecoin","33074348875.0","4328482354.87","0.25399874","130214617895.4033","-1.5%","15.82%"
"7","ripple","31647497913.0","4868246654.67","0.68579859","46146927647.0","3.4%","6.54%"
"8","usd-coin","25423385158.0","401342299.83","1.0020382","25371672615.3397","-0.08%","0.11%"
"9","polkadot-new","15867127159.0","1557780360.62","15.903944","997685049.6322","-2.76%","-2.92%"
"10","uniswap","10486610789.0","360990700.15","18.230188","575233277.2909","-1.49%","0.7%"
"11","binance-usd","10062892121.0","1000258675.12","1.0016462","10046353813.28","0.0%","0.01%"
"12","bitcoin-cash","9722883099.0","2083333400.24","517.82553","18776368.75","0.11%","8.15%"
"13","litecoin","9524552912.0","2451310072.41","142.68477","66752414.5154","0.79%","9.41%"
"14","solana","8942284062.0","731366666.35","32.79918","272637427.5773","-3.26%","7.26%"
"15","chainlink","8336171554.0","1131386944.96","19.141191","435509553.9175","-1.88%","0.96%"
"16","matic-network","7163430380.0","1116028743.75","1.1364351","6303422325.0","-0.91%","-5.57%"
"17","ethereum-classic","6920621401.0","9445587044.62","59.499829","116313299.0","29.67%","48.61%"
"18","wrapped-bitcoin","6818538608.0","194067991.6","35124.405","194125.384","-0.14%","2.82%"
"19","theta-token","6798947400.0","314230953.24","6.7989474","1000000000.0","-4.59%","-4.52%"
"20","dfn","6661627979.0","938143947.0","49.282007","135173634.05","-1.61%","25.29%"
"21","stellar","6415533905.0","571727515.3","0.27644529","23207246195.7808","0.87%","2.97%"
"22","vet","5610776326.0","1035113092.18","0.087238218","64315576989.0","6.01%","3.7%"
"23","dai","5236067314.0","58249887.75","1.0064948","5202279549.1548","-0.08%","0.36%"
"24","filecoin-mainnet","5167246278.0","1109385482.9","62.197426","83078137.0","8.82%","14.86%"
"25","tron","4733649218.0","1714748897.4","0.06605738","71659657369.49","-2.58%","17.84%"
"26","monero","3893905297.0","229649275.22","217.02816","17941935.7248","-0.24%","-1.54%"
"27","eos","3882009772.0","1999463883.76","4.0660198","954744433.9128","1.88%","9.59%"
"28","shiba-inu","3549664212.0","1099225774.4","8.9911352e-06","394796000000000.0","6.13%","30.29%"
"29","aavenew","2970379797.0","295488472.51","231.55322","12828065.1743","-4.85%","1.36%"
"30","cro","2878674432.0","49868235.1","0.11394818","25263013692.0","0.86%","23.1%"
"31","bitcoin-cash-sv","2784373239.0","678346096.9","148.31529","18773339.1442","-9.53%","17.54%"
"32","algorand","2687060307.0","271289564.87","0.86802069","3095617809.1155","-2.18%","5.98%"
"33","celsius","2570723803.0","9601982.59","6.0713906","187925204.8657","-2.06%","5.36%"
"34","pancakeswap","2570498457.0","109397232.23","13.678306","423415980.3475","0.2%","1.15%"
"35","bitcoinbep2","2558091040.0","405480.52","34996.81","73094.9775","0.14%","2.43%"
"36","klaytn","2528480636.0","57124604.53","1.0190721","70538831.0","-3.19%","17.8%"
"37","neo","2526116724.0","669498517.97","35.811718","2481159709.8","1.94%","4.71%"
"38","ftx","2522539319.0","42525596.81","26.736838","94346957.5237","1.99%","0.33%"
